*****************************
Basic coeficients
*****************************
Alpha, Cd
            ,   -20.00    ,   -10.00    ,   -5.000    ,   -1.000    ,     .000    ,    1.000    ,    5.000    ,    10.00    ,    20.00    
  -2.000    ,    .3534E-02,    .1655E-02,    .5376E-03,    .6117E-04,     .000    ,   -.3799E-04,    .4187E-04,    .6632E-03,    .2002E-02
  -1.000    ,    .3137E-02,    .1398E-02,    .4090E-03,    .3544E-04,     .000    ,   -.1226E-04,    .1705E-03,    .9205E-03,    .2400E-02
    .000    ,    .2743E-02,    .1142E-02,    .2815E-03,    .9930E-05,     .000    ,    .1325E-04,    .2980E-03,    .1176E-02,    .2794E-02
   1.000    ,    .2351E-02,    .8889E-03,    .1547E-03,   -.1542E-04,     .000    ,    .3860E-04,    .4248E-03,    .1429E-02,    .3186E-02
   2.000    ,    .1960E-02,    .6362E-03,    .2834E-04,   -.4069E-04,     .000    ,    .6387E-04,    .5512E-03,    .1682E-02,    .3576E-02
   3.000    ,    .1570E-02,    .3838E-03,   -.9784E-04,   -.6593E-04,     .000    ,    .8911E-04,    .6773E-03,    .1934E-02,    .3966E-02
   4.000    ,    .1180E-02,    .1313E-03,   -.2241E-03,   -.9118E-04,     .000    ,    .1144E-03,    .8036E-03,    .2187E-02,    .4357E-02
   5.000    ,    .7887E-03,   -.1219E-03,   -.3507E-03,   -.1165E-03,     .000    ,    .1397E-03,    .9302E-03,    .2440E-02,    .4748E-02
   6.000    ,    .3955E-03,   -.3763E-03,   -.4779E-03,   -.1419E-03,     .000    ,    .1651E-03,    .1057E-02,    .2694E-02,    .5141E-02
   7.000    ,   -.4181E-06,   -.6325E-03,   -.6060E-03,   -.1676E-03,     .000    ,    .1907E-03,    .1185E-02,    .2950E-02,    .5537E-02
   8.000    ,   -.3998E-03,   -.8909E-03,   -.7352E-03,   -.1934E-03,     .000    ,    .2166E-03,    .1315E-02,    .3209E-02,    .5936E-02
   9.000    ,   -.8035E-03,   -.1152E-02,   -.8658E-03,   -.2195E-03,     .000    ,    .2427E-03,    .1445E-02,    .3470E-02,    .6340E-02
   10.00    ,   -.1223E-02,   -.1423E-02,   -.1001E-02,   -.2466E-03,     .000    ,    .2698E-03,    .1581E-02,    .3741E-02,    .6759E-02
   12.00    ,   -.2147E-02,   -.2022E-02,   -.1301E-02,   -.3065E-03,     .000    ,    .3296E-03,    .1880E-02,    .4340E-02,    .7684E-02
   14.00    ,   -.3224E-02,   -.2718E-02,   -.1649E-02,   -.3761E-03,     .000    ,    .3993E-03,    .2228E-02,    .5036E-02,    .8760E-02
   16.00    ,   -.4395E-02,   -.3476E-02,   -.2028E-02,   -.4519E-03,     .000    ,    .4751E-03,    .2607E-02,    .5794E-02,    .9931E-02
   18.00    ,   -.5760E-02,   -.4359E-02,   -.2469E-02,   -.5403E-03,     .000    ,    .5634E-03,    .3049E-02,    .6677E-02,    .1130E-01
   19.00    ,   -.6618E-02,   -.4914E-02,   -.2747E-02,   -.5957E-03,     .000    ,    .6189E-03,    .3326E-02,    .7232E-02,    .1215E-01
   20.00    ,   -.7643E-02,   -.5577E-02,   -.3078E-02,   -.6620E-03,     .000    ,    .6852E-03,    .3658E-02,    .7895E-02,    .1318E-01
   25.00    ,   -.1481E-01,   -.1021E-01,   -.5397E-02,   -.1126E-02,     .000    ,    .1149E-02,    .5976E-02,    .1253E-01,    .2034E-01

*****************************
Aileron terms
*****************************
CN_Ail for Plain flap aileron
Alpha, DeltaAil
            ,     .000    ,    2.000    ,    6.000    ,    10.00    ,    16.00    ,    20.00    ,    30.00    ,    40.00    ,    50.00    
  -2.000    ,     .000    ,    .1812E-05,    .5437E-05,    .9062E-05,    .1450E-04,    .1812E-04,    .2652E-04,    .2926E-04,    .3067E-04
  -1.000    ,     .000    ,   -.4002E-04,   -.1201E-03,   -.2001E-03,   -.3202E-03,   -.4002E-03,   -.5856E-03,   -.6461E-03,   -.6773E-03
    .000    ,     .000    ,   -.8312E-04,   -.2494E-03,   -.4156E-03,   -.6650E-03,   -.8312E-03,   -.1216E-02,   -.1342E-02,   -.1407E-02
   1.000    ,     .000    ,   -.1274E-03,   -.3822E-03,   -.6370E-03,   -.1019E-02,   -.1274E-02,   -.1864E-02,   -.2057E-02,   -.2156E-02
   2.000    ,     .000    ,   -.1728E-03,   -.5183E-03,   -.8638E-03,   -.1382E-02,   -.1728E-02,   -.2528E-02,   -.2789E-02,   -.2924E-02
   3.000    ,     .000    ,   -.2191E-03,   -.6573E-03,   -.1096E-02,   -.1753E-02,   -.2191E-02,   -.3206E-02,   -.3537E-02,   -.3708E-02
   4.000    ,     .000    ,   -.2663E-03,   -.7990E-03,   -.1332E-02,   -.2131E-02,   -.2663E-02,   -.3897E-02,   -.4300E-02,   -.4507E-02
   5.000    ,     .000    ,   -.3143E-03,   -.9430E-03,   -.1572E-02,   -.2515E-02,   -.3143E-02,   -.4600E-02,   -.5074E-02,   -.5319E-02
   6.000    ,     .000    ,   -.3630E-03,   -.1089E-02,   -.1815E-02,   -.2904E-02,   -.3630E-02,   -.5312E-02,   -.5860E-02,   -.6143E-02
   7.000    ,     .000    ,   -.4122E-03,   -.1237E-02,   -.2061E-02,   -.3298E-02,   -.4122E-02,   -.6032E-02,   -.6655E-02,   -.6976E-02
   8.000    ,     .000    ,   -.4619E-03,   -.1386E-02,   -.2309E-02,   -.3695E-02,   -.4619E-02,   -.6759E-02,   -.7456E-02,   -.7816E-02
   9.000    ,     .000    ,   -.5119E-03,   -.1536E-02,   -.2559E-02,   -.4095E-02,   -.5119E-02,   -.7490E-02,   -.8263E-02,   -.8662E-02
   10.00    ,     .000    ,   -.5621E-03,   -.1686E-02,   -.2810E-02,   -.4497E-02,   -.5621E-02,   -.8225E-02,   -.9074E-02,   -.9512E-02
